wall_ts,relative_s,phase,arbitration_id_hex,dlc,data_hex,note
1780532887.989641,1.060923,baseline,100,8,4000FE0628564B00,engine_cluster_state
1780532887.989697,1.060979,baseline,120,8,0000000000000000,body_status
1780532887.989718,1.060999,baseline,188,8,0000400000000000,display_speed
1780532888.040017,1.111298,baseline,100,8,4100020729564B00,engine_cluster_state
1780532888.040114,1.111396,baseline,120,8,0000000000000000,body_status
1780532888.040143,1.111424,baseline,188,8,0000410000000000,display_speed
1780532888.090470,1.161752,baseline,100,8,4100070729564B00,engine_cluster_state
1780532888.090600,1.161881,baseline,120,8,0000000000000000,body_status
1780532888.090642,1.161924,baseline,188,8,0000410000000000,display_speed
1780532888.140868,1.212149,baseline,100,8,41000B0729564B00,engine_cluster_state
1780532888.140924,1.212205,baseline,120,8,0000000000000000,body_status
1780532888.140962,1.212244,baseline,188,8,0000410000000000,display_speed
1780532888.140995,1.212277,baseline,300,8,DBFA310F8FBD9853,background_noise
1780532888.191225,1.262507,baseline,100,8,41000F0729564B00,engine_cluster_state
1780532888.191297,1.262578,baseline,120,8,0000000000000000,body_status
1780532888.191323,1.262604,baseline,188,8,0000410000000000,display_speed
1780532888.241635,1.312917,baseline,100,8,4100130729564B00,engine_cluster_state
1780532888.241686,1.312968,baseline,120,8,0000000000000000,body_status
1780532888.241707,1.312989,baseline,188,8,0000410000000000,display_speed
1780532888.291975,1.363257,baseline,100,8,4200180729564B00,engine_cluster_state
1780532888.292040,1.363322,baseline,120,8,0000000000000000,body_status
1780532888.292066,1.363348,baseline,188,8,0000420000000000,display_speed
1780532888.342302,1.413583,baseline,100,8,42001C0729564B00,engine_cluster_state
1780532888.342396,1.413677,baseline,120,8,0000000000000000,body_status
1780532888.342420,1.413701,baseline,188,8,0000420000000000,display_speed
1780532888.392672,1.463954,baseline,100,8,420020072A564B00,engine_cluster_state
1780532888.392728,1.464010,baseline,120,8,0000000000000000,body_status
1780532888.392749,1.464031,baseline,188,8,0000420000000000,display_speed
1780532888.443010,1.514292,baseline,100,8,420024072A564B00,engine_cluster_state
1780532888.443063,1.514344,baseline,120,8,0000000000000000,body_status
1780532888.443208,1.514490,baseline,188,8,0000420000000000,display_speed
1780532888.493618,1.564899,baseline,100,8,420029072A564B00,engine_cluster_state
1780532888.493669,1.564950,baseline,120,8,0000000000000000,body_status
1780532888.493689,1.564970,baseline,188,8,0000420000000000,display_speed
1780532888.543972,1.615253,baseline,100,8,43002D072A564B00,engine_cluster_state
1780532888.544036,1.615317,baseline,120,8,0000000000000000,body_status
1780532888.544062,1.615344,baseline,188,8,0000430000000000,display_speed
1780532888.544101,1.615382,baseline,300,8,DD341F7848682444,background_noise
1780532888.594315,1.665596,baseline,100,8,430031072A564B00,engine_cluster_state
1780532888.594381,1.665663,baseline,120,8,0000000000000000,body_status
1780532888.594401,1.665682,baseline,188,8,0000430000000000,display_speed
1780532888.644621,1.715903,baseline,100,8,430035072A564B00,engine_cluster_state
1780532888.644749,1.716031,baseline,120,8,0000000000000000,body_status
1780532888.644772,1.716054,baseline,188,8,0000430000000000,display_speed
1780532888.695019,1.766300,baseline,100,8,430039072A564B00,engine_cluster_state
1780532888.695084,1.766365,baseline,120,8,0000000000000000,body_status
1780532888.695112,1.766393,baseline,188,8,0000430000000000,display_speed
1780532888.745437,1.816718,baseline,100,8,44003D072B564B00,engine_cluster_state
1780532888.745556,1.816837,baseline,120,8,0000000000000000,body_status
1780532888.745589,1.816870,baseline,188,8,0000440000000000,display_speed
1780532888.795854,1.867136,baseline,100,8,440042072B564B00,engine_cluster_state
1780532888.795921,1.867203,baseline,120,8,0000000000000000,body_status
1780532888.795975,1.867256,baseline,188,8,0000440000000000,display_speed
1780532888.846241,1.917522,baseline,100,8,440046072B564B00,engine_cluster_state
1780532888.846316,1.917597,baseline,120,8,0000000000000000,body_status
1780532888.846384,1.917665,baseline,188,8,0000440000000000,display_speed
1780532888.896682,1.967963,baseline,100,8,44004A072B564B00,engine_cluster_state
1780532888.896755,1.968037,baseline,120,8,0000000000000000,body_status
1780532888.896784,1.968066,baseline,188,8,0000440000000000,display_speed
1780532888.947026,2.018308,baseline,100,8,44004E072B564B00,engine_cluster_state
1780532888.947078,2.018360,baseline,120,8,0000000000000000,body_status
1780532888.947099,2.018381,baseline,188,8,0000440000000000,display_speed
1780532888.947129,2.018411,baseline,300,8,8977AF99BE0CD1FC,background_noise
1780532888.997462,2.068744,baseline,100,8,450052072B564B00,engine_cluster_state
1780532888.997565,2.068846,baseline,120,8,0000000000000000,body_status
1780532888.997597,2.068878,baseline,188,8,0000450000000000,display_speed
1780532889.047833,2.119115,baseline,100,8,450056072B564B00,engine_cluster_state
1780532889.047885,2.119166,baseline,120,8,0000000000000000,body_status
1780532889.047905,2.119186,baseline,188,8,0000450000000000,display_speed
1780532889.098148,2.169429,baseline,100,8,45005A072B564B00,engine_cluster_state
1780532889.098198,2.169480,baseline,120,8,0000000000000000,body_status
1780532889.098219,2.169500,baseline,188,8,0000450000000000,display_speed
1780532889.148561,2.219843,baseline,100,8,45005F072C564B00,engine_cluster_state
1780532889.148636,2.219918,baseline,120,8,0000000000000000,body_status
1780532889.148665,2.219947,baseline,188,8,0000450000000000,display_speed
1780532889.199006,2.270287,baseline,100,8,450063072C564B00,engine_cluster_state
1780532889.199067,2.270349,baseline,120,8,0000000000000000,body_status
1780532889.199127,2.270409,baseline,188,8,0000450000000000,display_speed
1780532889.249386,2.320668,baseline,100,8,460067072C564B00,engine_cluster_state
1780532889.249443,2.320724,baseline,120,8,0000000000000000,body_status
1780532889.249484,2.320766,baseline,188,8,0000460000000000,display_speed
1780532889.299821,2.371102,baseline,100,8,46006B072C564B00,engine_cluster_state
1780532889.299965,2.371247,baseline,120,8,0000000000000000,body_status
1780532889.299995,2.371276,baseline,188,8,0000460000000000,display_speed
1780532889.350282,2.421564,baseline,100,8,46006F072C564B00,engine_cluster_state
1780532889.350346,2.421627,baseline,120,8,0000000000000000,body_status
1780532889.350367,2.421649,baseline,188,8,0000460000000000,display_speed
1780532889.350397,2.421679,baseline,300,8,EB13D91016C3946B,background_noise
1780532889.400655,2.471936,baseline,100,8,460073072C564B00,engine_cluster_state
1780532889.400707,2.471988,baseline,120,8,0000000000000000,body_status
1780532889.400727,2.472008,baseline,188,8,0000460000000000,display_speed
1780532889.450984,2.522266,baseline,100,8,460077072C564B00,engine_cluster_state
1780532889.451037,2.522319,baseline,120,8,0000000000000000,body_status
1780532889.451056,2.522338,baseline,188,8,0000460000000000,display_speed
1780532889.501376,2.572657,baseline,100,8,46007B072D564B00,engine_cluster_state
1780532889.501432,2.572714,baseline,120,8,0000000000000000,body_status
1780532889.501452,2.572734,baseline,188,8,0000460000000000,display_speed
1780532889.551697,2.622978,baseline,100,8,47007F072D564B00,engine_cluster_state
1780532889.551852,2.623133,baseline,120,8,0000000000000000,body_status
1780532889.551895,2.623177,baseline,188,8,0000470000000000,display_speed
1780532889.602142,2.673424,baseline,100,8,470083072D564B00,engine_cluster_state
1780532889.602198,2.673480,baseline,120,8,0000000000000000,body_status
1780532889.602218,2.673499,baseline,188,8,0000470000000000,display_speed
1780532889.652527,2.723809,baseline,100,8,470087072D564B00,engine_cluster_state
1780532889.652604,2.723885,baseline,120,8,0000000000000000,body_status
1780532889.652630,2.723912,baseline,188,8,0000470000000000,display_speed
1780532889.702881,2.774162,baseline,100,8,47008B072D564B00,engine_cluster_state
1780532889.702940,2.774221,baseline,120,8,0000000000000000,body_status
1780532889.702964,2.774245,baseline,188,8,0000470000000000,display_speed
1780532889.753225,2.824506,baseline,100,8,47008F072D564B00,engine_cluster_state
1780532889.753278,2.824560,baseline,120,8,0000000000000000,body_status
1780532889.753298,2.824580,baseline,188,8,0000470000000000,display_speed
1780532889.753327,2.824609,baseline,300,8,B51B2A5305D2E4D7,background_noise
1780532889.803633,2.874915,baseline,100,8,480093072D564B00,engine_cluster_state
1780532889.803684,2.874965,baseline,120,8,0000000000000000,body_status
1780532889.803704,2.874985,baseline,188,8,0000480000000000,display_speed
1780532889.853941,2.925222,baseline,100,8,480097072D564B00,engine_cluster_state
1780532889.853994,2.925275,baseline,120,8,0000000000000000,body_status
1780532889.854018,2.925300,baseline,188,8,0000480000000000,display_speed
1780532889.904253,2.975535,baseline,100,8,48009B072E564B00,engine_cluster_state
1780532889.904327,2.975609,baseline,120,8,0000000000000000,body_status
1780532889.904363,2.975644,baseline,188,8,0000480000000000,display_speed
1780532889.954627,3.025908,baseline,100,8,48009F072E564B00,engine_cluster_state
1780532889.954683,3.025964,baseline,120,8,0000000000000000,body_status
1780532889.954704,3.025985,baseline,188,8,0000480000000000,display_speed
1780532890.005050,3.076331,baseline,100,8,4800A3072E564B00,engine_cluster_state
1780532890.005134,3.076416,baseline,120,8,0000000000000000,body_status
1780532890.005167,3.076448,baseline,188,8,0000480000000000,display_speed
1780532890.055512,3.126793,baseline,100,8,4800A7072E564B00,engine_cluster_state
1780532890.055585,3.126866,baseline,120,8,0000000000000000,body_status
1780532890.055616,3.126897,baseline,188,8,0000480000000000,display_speed
1780532890.105882,3.177164,baseline,100,8,4900AB072E564B00,engine_cluster_state
1780532890.105962,3.177243,baseline,120,8,0000000000000000,body_status
1780532890.106041,3.177323,baseline,188,8,0000490000000000,display_speed
1780532890.156281,3.227562,baseline,100,8,4900AE072E564B00,engine_cluster_state
1780532890.156373,3.227654,baseline,120,8,0000000000000000,body_status
1780532890.156399,3.227680,baseline,188,8,0000490000000000,display_speed
1780532890.156430,3.227712,baseline,300,8,4F2139281C6C6427,background_noise
1780532890.206673,3.277955,baseline,100,8,4900B2072E564B00,engine_cluster_state
1780532890.206749,3.278030,baseline,120,8,0000000000000000,body_status
1780532890.206784,3.278066,baseline,188,8,0000490000000000,display_speed
1780532890.257005,3.328287,baseline,100,8,4900B6072F564B00,engine_cluster_state
1780532890.257057,3.328338,baseline,120,8,0000000000000000,body_status
1780532890.257077,3.328358,baseline,188,8,0000490000000000,display_speed
1780532890.307405,3.378686,baseline,100,8,4900BA072F564B00,engine_cluster_state
1780532890.307542,3.378824,baseline,120,8,0000000000000000,body_status
1780532890.307591,3.378872,baseline,188,8,0000490000000000,display_speed
1780532890.357845,3.429127,baseline,100,8,4900BE072F564B00,engine_cluster_state
1780532890.357915,3.429197,baseline,120,8,0000000000000000,body_status
1780532890.357948,3.429229,baseline,188,8,0000490000000000,display_speed
1780532890.408247,3.479528,baseline,100,8,4900C2072F564B00,engine_cluster_state
1780532890.408303,3.479584,baseline,120,8,0000000000000000,body_status
1780532890.408324,3.479605,baseline,188,8,0000490000000000,display_speed
1780532890.458569,3.529850,baseline,100,8,4A00C5072F564B00,engine_cluster_state
1780532890.458619,3.529901,baseline,120,8,0000000000000000,body_status
1780532890.458639,3.529921,baseline,188,8,00004A0000000000,display_speed
1780532890.508857,3.580138,baseline,100,8,4A00C9072F564B00,engine_cluster_state
1780532890.508911,3.580192,baseline,120,8,0000000000000000,body_status
1780532890.508938,3.580219,baseline,188,8,00004A0000000000,display_speed
1780532890.559171,3.630452,baseline,100,8,4A00CD072F564B00,engine_cluster_state
1780532890.559242,3.630524,baseline,120,8,0000000000000000,body_status
1780532890.559276,3.630558,baseline,188,8,00004A0000000000,display_speed
1780532890.559318,3.630600,baseline,300,8,EC78EB2E512A2804,background_noise
1780532890.609598,3.680879,baseline,100,8,4A00D1072F564B00,engine_cluster_state
1780532890.609661,3.680943,baseline,120,8,0000000000000000,body_status
1780532890.609684,3.680965,baseline,188,8,00004A0000000000,display_speed
1780532890.659892,3.731174,baseline,100,8,4A00D40730564B00,engine_cluster_state
1780532890.659943,3.731225,baseline,120,8,0000000000000000,body_status
1780532890.659963,3.731245,baseline,188,8,00004A0000000000,display_speed
1780532890.710178,3.781459,baseline,100,8,4A00D80730564B00,engine_cluster_state
1780532890.710231,3.781513,baseline,120,8,0000000000000000,body_status
1780532890.710313,3.781594,baseline,188,8,00004A0000000000,display_speed
1780532890.760606,3.831887,baseline,100,8,4A00DC0730564B00,engine_cluster_state
1780532890.760665,3.831946,baseline,120,8,0000000000000000,body_status
1780532890.760685,3.831966,baseline,188,8,00004A0000000000,display_speed
1780532890.810946,3.882227,baseline,100,8,4B00DF0730564B00,engine_cluster_state
1780532890.811015,3.882296,baseline,120,8,0000000000000000,body_status
1780532890.811044,3.882325,baseline,188,8,00004B0000000000,display_speed
1780532890.861269,3.932550,baseline,100,8,4B00E30730564B00,engine_cluster_state
1780532890.861320,3.932601,baseline,120,8,0000000000000000,body_status
1780532890.861377,3.932659,baseline,188,8,00004B0000000000,display_speed
1780532890.911724,3.983005,baseline,100,8,4B00E70730564B00,engine_cluster_state
1780532890.911791,3.983072,baseline,120,8,0000000000000000,body_status
1780532890.911814,3.983095,baseline,188,8,00004B0000000000,display_speed
1780532890.962052,4.033333,baseline,100,8,4B00EA0730564B00,engine_cluster_state
1780532890.962143,4.033424,baseline,120,8,0000000000000000,body_status
1780532890.962172,4.033454,baseline,188,8,00004B0000000000,display_speed
1780532890.962212,4.033494,baseline,300,8,21569009EF8092D0,background_noise
1780532891.012571,4.083853,baseline,100,8,4B00EE0730564B00,engine_cluster_state
1780532891.012645,4.083926,baseline,120,8,0000000000000000,body_status
1780532891.012676,4.083958,baseline,188,8,00004B0000000000,display_speed
1780532891.062911,4.134193,baseline,100,8,4B00F20731564B00,engine_cluster_state
1780532891.062963,4.134244,baseline,120,8,0000000000000000,body_status
1780532891.062984,4.134265,baseline,188,8,00004B0000000000,display_speed
1780532891.113249,4.184530,baseline,100,8,4B00F50731564B00,engine_cluster_state
1780532891.113327,4.184609,baseline,120,8,0000000000000000,body_status
1780532891.113424,4.184705,baseline,188,8,00004B0000000000,display_speed
1780532891.163708,4.234989,baseline,100,8,4B00F90731564B00,engine_cluster_state
1780532891.163781,4.235062,baseline,120,8,0000000000000000,body_status
1780532891.163806,4.235087,baseline,188,8,00004B0000000000,display_speed
1780532891.214064,4.285345,baseline,100,8,4C00FC0731564B00,engine_cluster_state
1780532891.214119,4.285401,baseline,120,8,0000000000000000,body_status
1780532891.214160,4.285441,baseline,188,8,00004C0000000000,display_speed
1780532891.264557,4.335839,baseline,100,8,4C00000831564B00,engine_cluster_state
1780532891.264610,4.335891,baseline,120,8,0000000000000000,body_status
1780532891.264631,4.335913,baseline,188,8,00004C0000000000,display_speed
1780532891.314871,4.386153,baseline,100,8,4C00030831564B00,engine_cluster_state
1780532891.314943,4.386225,baseline,120,8,0000000000000000,body_status
1780532891.314965,4.386247,baseline,188,8,00004C0000000000,display_speed
1780532891.365202,4.436483,baseline,100,8,4C00070831564B00,engine_cluster_state
1780532891.365268,4.436549,baseline,120,8,0000000000000000,body_status
1780532891.365290,4.436571,baseline,188,8,00004C0000000000,display_speed
1780532891.365328,4.436609,baseline,300,8,907348ECBCE4BB09,background_noise
1780532891.415708,4.486989,baseline,100,8,4C000A0831564B00,engine_cluster_state
1780532891.415763,4.487044,baseline,120,8,0000000000000000,body_status
1780532891.415783,4.487064,baseline,188,8,00004C0000000000,display_speed
1780532891.466038,4.537320,baseline,100,8,4C000E0832564B00,engine_cluster_state
1780532891.466092,4.537374,baseline,120,8,0000000000000000,body_status
1780532891.466119,4.537400,baseline,188,8,00004C0000000000,display_speed
1780532891.516526,4.587807,baseline,100,8,4C00110832564B00,engine_cluster_state
1780532891.516647,4.587928,baseline,120,8,0000000000000000,body_status
1780532891.516668,4.587949,baseline,188,8,00004C0000000000,display_speed
1780532891.566894,4.638175,baseline,100,8,4C00150832564B00,engine_cluster_state
1780532891.566982,4.638263,baseline,120,8,0000000000000000,body_status
1780532891.567004,4.638286,baseline,188,8,00004C0000000000,display_speed
1780532891.617284,4.688566,baseline,100,8,4C00180832564B00,engine_cluster_state
1780532891.617365,4.688646,baseline,120,8,0000000000000000,body_status
1780532891.617412,4.688693,baseline,188,8,00004C0000000000,display_speed
1780532891.667719,4.739001,baseline,100,8,4C001B0832564B00,engine_cluster_state
1780532891.667796,4.739077,baseline,120,8,0000000000000000,body_status
1780532891.667853,4.739134,baseline,188,8,00004C0000000000,display_speed
1780532891.718169,4.789451,baseline,100,8,4D001F0832564B00,engine_cluster_state
1780532891.718234,4.789515,baseline,120,8,0000000000000000,body_status
1780532891.718262,4.789544,baseline,188,8,00004D0000000000,display_speed
1780532891.768532,4.839813,baseline,100,8,4D00220832564B00,engine_cluster_state
1780532891.768584,4.839865,baseline,120,8,0000000000000000,body_status
1780532891.768605,4.839886,baseline,188,8,00004D0000000000,display_speed
1780532891.768655,4.839936,baseline,300,8,13AE2844258064FD,background_noise
1780532891.818906,4.890188,baseline,100,8,4D00250832564B00,engine_cluster_state
1780532891.818957,4.890238,baseline,120,8,0000000000000000,body_status
1780532891.818976,4.890257,baseline,188,8,00004D0000000000,display_speed
1780532891.869247,4.940528,baseline,100,8,4D00290833564B00,engine_cluster_state
1780532891.869318,4.940600,baseline,120,8,0000000000000000,body_status
1780532891.869390,4.940672,baseline,188,8,00004D0000000000,display_speed
1780532891.919724,4.991005,baseline,100,8,4D002C0833564B00,engine_cluster_state
1780532891.919778,4.991060,baseline,120,8,0000000000000000,body_status
1780532891.919798,4.991079,baseline,188,8,00004D0000000000,display_speed
1780532891.970099,5.041381,baseline,100,8,4D002F0833564B00,engine_cluster_state
1780532891.970166,5.041447,baseline,120,8,0000000000000000,body_status
1780532891.970194,5.041475,baseline,188,8,00004D0000000000,display_speed
1780532892.020528,5.091809,baseline,100,8,4D00320833564B00,engine_cluster_state
1780532892.020619,5.091901,baseline,120,8,0000000000000000,body_status
1780532892.020646,5.091928,baseline,188,8,00004D0000000000,display_speed
1780532892.070935,5.142217,baseline,100,8,4D00360833564B00,engine_cluster_state
1780532892.070989,5.142270,baseline,120,8,0000000000000000,body_status
1780532892.071008,5.142290,baseline,188,8,00004D0000000000,display_speed
1780532892.121402,5.192683,baseline,100,8,4D00390833564B00,engine_cluster_state
1780532892.121470,5.192751,baseline,120,8,0000000000000000,body_status
1780532892.121635,5.192916,baseline,188,8,00004D0000000000,display_speed
1780532892.172004,5.243285,baseline,100,8,4D003C0833564B00,engine_cluster_state
1780532892.172064,5.243345,baseline,120,8,0000000000000000,body_status
1780532892.172093,5.243374,baseline,188,8,00004D0000000000,display_speed
1780532892.172133,5.243415,baseline,300,8,53BF36779FB4E7A0,background_noise
1780532892.222469,5.293750,baseline,100,8,4D003F0833564B00,engine_cluster_state
1780532892.222579,5.293860,baseline,120,8,0000000000000000,body_status
1780532892.222622,5.293903,baseline,188,8,00004D0000000000,display_speed
1780532892.272877,5.344159,baseline,100,8,4D00420833564B00,engine_cluster_state
1780532892.272930,5.344211,baseline,120,8,0000000000000000,body_status
1780532892.272950,5.344231,baseline,188,8,00004D0000000000,display_speed
1780532892.323244,5.394525,baseline,100,8,4D00450834564B00,engine_cluster_state
1780532892.323315,5.394596,baseline,120,8,0000000000000000,body_status
1780532892.323387,5.394668,baseline,188,8,00004D0000000000,display_speed
1780532892.373649,5.444931,baseline,100,8,4D00490834564B00,engine_cluster_state
1780532892.373728,5.445009,baseline,120,8,0000000000000000,body_status
1780532892.373749,5.445031,baseline,188,8,00004D0000000000,display_speed
1780532892.424021,5.495302,baseline,100,8,4D004C0834564B00,engine_cluster_state
1780532892.424106,5.495387,baseline,120,8,0000000000000000,body_status
1780532892.424157,5.495439,baseline,188,8,00004D0000000000,display_speed
1780532892.474440,5.545722,baseline,100,8,4E004F0834564B00,engine_cluster_state
1780532892.474532,5.545813,baseline,120,8,0000000000000000,body_status
1780532892.474555,5.545837,baseline,188,8,00004E0000000000,display_speed
1780532892.524872,5.596154,baseline,100,8,4E00520834564B00,engine_cluster_state
1780532892.524946,5.596228,baseline,120,8,0000000000000000,body_status
1780532892.524971,5.596253,baseline,188,8,00004E0000000000,display_speed
1780532892.575224,5.646505,baseline,100,8,4E00550834564B00,engine_cluster_state
1780532892.575277,5.646558,baseline,120,8,0000000000000000,body_status
1780532892.575300,5.646581,baseline,188,8,00004E0000000000,display_speed
1780532892.575362,5.646643,baseline,300,8,823AEDE9F3F3F3DB,background_noise
1780532892.625707,5.696988,baseline,100,8,4E00580834564B00,engine_cluster_state
1780532892.625774,5.697055,baseline,120,8,0000000000000000,body_status
1780532892.625799,5.697080,baseline,188,8,00004E0000000000,display_speed
1780532892.676119,5.747400,baseline,100,8,4E005B0834564B00,engine_cluster_state
1780532892.676190,5.747472,baseline,120,8,0000000000000000,body_status
1780532892.676213,5.747495,baseline,188,8,00004E0000000000,display_speed
1780532892.726526,5.797808,baseline,100,8,4E005E0835564B00,engine_cluster_state
1780532892.726593,5.797875,baseline,120,8,0000000000000000,body_status
1780532892.726636,5.797917,baseline,188,8,00004E0000000000,display_speed
1780532892.776931,5.848212,baseline,100,8,4E00600835564B00,engine_cluster_state
1780532892.776991,5.848272,baseline,120,8,0000000000000000,body_status
1780532892.777013,5.848294,baseline,188,8,00004E0000000000,display_speed
1780532892.827389,5.898671,baseline,100,8,4E00630835564B00,engine_cluster_state
1780532892.827467,5.898749,baseline,120,8,0000000000000000,body_status
1780532892.827555,5.898837,baseline,188,8,00004E0000000000,display_speed
1780532892.877853,5.949135,baseline,100,8,4E00660835564B00,engine_cluster_state
1780532892.877918,5.949199,baseline,120,8,0000000000000000,body_status
1780532892.877943,5.949224,baseline,188,8,00004E0000000000,display_speed
1780532892.928238,5.999520,baseline,100,8,4E00690835564B00,engine_cluster_state
1780532892.928318,5.999599,baseline,120,8,0000000000000000,body_status
1780532892.928353,5.999634,baseline,188,8,00004E0000000000,display_speed
1780532892.978676,6.049958,baseline,100,8,4E006C0835564B00,engine_cluster_state
1780532892.978730,6.050012,baseline,120,8,0000000000000000,body_status
1780532892.978750,6.050032,baseline,188,8,00004E0000000000,display_speed
1780532892.978781,6.050063,baseline,300,8,D3A700EF6C83828E,background_noise
1780532893.029050,6.100331,baseline,100,8,4E006F0835564B00,engine_cluster_state
1780532893.029148,6.100429,baseline,120,8,0000000000000000,body_status
1780532893.029241,6.100522,baseline,188,8,00004E0000000000,display_speed
1780532893.079588,6.150869,baseline,100,8,4E00710835564B00,engine_cluster_state
1780532893.079655,6.150937,baseline,120,8,0000000000000000,body_status
1780532893.079685,6.150967,baseline,188,8,00004E0000000000,display_speed
1780532893.129985,6.201267,baseline,100,8,4E00740835564B00,engine_cluster_state
1780532893.130059,6.201340,baseline,120,8,0000000000000000,body_status
1780532893.130086,6.201368,baseline,188,8,00004E0000000000,display_speed
1780532893.180781,6.252062,baseline,100,8,4E00770836564B00,engine_cluster_state
1780532893.180860,6.252141,baseline,120,8,0000000000000000,body_status
1780532893.180890,6.252171,baseline,188,8,00004E0000000000,display_speed
1780532893.231105,6.302387,baseline,100,8,4E007A0836564B00,engine_cluster_state
1780532893.231158,6.302440,baseline,120,8,0000000000000000,body_status
1780532893.231182,6.302463,baseline,188,8,00004E0000000000,display_speed
1780532893.281586,6.352867,baseline,100,8,4E007C0836564B00,engine_cluster_state
1780532893.281662,6.352943,baseline,120,8,0000000000000000,body_status
