experiment_id,timestamp_epoch_s,relative_time_s,attack_label,arbitration_id,dlc,payload_hex,semantic_label,source_component,decoded_speed_kmh,notes
009_icsim_spoof_injection,1398128225.219317,1.416000,spoofed_injection,188,8,03C90000000000C9,spoofed_icsim_turn_signals,icsim_spoof_injector_medium,,ATTACK spoofed ICSim turn_signal_state=0x3 intensity=medium
009_icsim_spoof_injection,1398128225.253317,1.450000,spoofed_injection,244,8,0000E9BE00AA55E9,spoofed_icsim_speed,icsim_spoof_injector_medium,190,ATTACK spoofed ICSim speed=190km/h intensity=medium
009_icsim_spoof_injection,1398128225.256317,1.453000,spoofed_injection,19B,8,D9000000000000D9,spoofed_icsim_doors,icsim_spoof_injector_medium,,ATTACK spoofed ICSim doors_state=0x0 intensity=medium
009_icsim_spoof_injection,1398128225.293317,1.490000,spoofed_injection,244,8,0000E9C100AA55E9,spoofed_icsim_speed,icsim_spoof_injector_medium,193,ATTACK spoofed ICSim speed=193km/h intensity=medium
009_icsim_spoof_injection,1398128225.333317,1.530000,spoofed_injection,244,8,0000E9C400AA55E9,spoofed_icsim_speed,icsim_spoof_injector_medium,196,ATTACK spoofed ICSim speed=196km/h intensity=medium
009_icsim_spoof_injection,1398128225.373317,1.570000,spoofed_injection,244,8,0000E9C700AA55E9,spoofed_icsim_speed,icsim_spoof_injector_medium,199,ATTACK spoofed ICSim speed=199km/h intensity=medium
009_icsim_spoof_injection,1398128225.413317,1.610000,spoofed_injection,244,8,0000E9CA00AA55E9,spoofed_icsim_speed,icsim_spoof_injector_medium,202,ATTACK spoofed ICSim speed=202km/h intensity=medium
009_icsim_spoof_injection,1398128225.453317,1.650000,spoofed_injection,244,8,0000E9BE00AA55E9,spoofed_icsim_speed,icsim_spoof_injector_medium,190,ATTACK spoofed ICSim speed=190km/h intensity=medium
009_icsim_spoof_injection,1398128225.456317,1.653000,spoofed_injection,19B,8,D9000000000000D9,spoofed_icsim_doors,icsim_spoof_injector_medium,,ATTACK spoofed ICSim doors_state=0x0 intensity=medium
009_icsim_spoof_injection,1398128225.493317,1.690000,spoofed_injection,244,8,0000E9C100AA55E9,spoofed_icsim_speed,icsim_spoof_injector_medium,193,ATTACK spoofed ICSim speed=193km/h intensity=medium
009_icsim_spoof_injection,1398128225.499317,1.696000,spoofed_injection,188,8,03C90000000000C9,spoofed_icsim_turn_signals,icsim_spoof_injector_medium,,ATTACK spoofed ICSim turn_signal_state=0x3 intensity=medium
009_icsim_spoof_injection,1398128225.533317,1.730000,spoofed_injection,244,8,0000E9C400AA55E9,spoofed_icsim_speed,icsim_spoof_injector_medium,196,ATTACK spoofed ICSim speed=196km/h intensity=medium
009_icsim_spoof_injection,1398128225.573317,1.770000,spoofed_injection,244,8,0000E9C700AA55E9,spoofed_icsim_speed,icsim_spoof_injector_medium,199,ATTACK spoofed ICSim speed=199km/h intensity=medium
009_icsim_spoof_injection,1398128225.613317,1.810000,spoofed_injection,244,8,0000E9CA00AA55E9,spoofed_icsim_speed,icsim_spoof_injector_medium,202,ATTACK spoofed ICSim speed=202km/h intensity=medium
009_icsim_spoof_injection,1398128225.653317,1.850000,spoofed_injection,244,8,0000E9BE00AA55E9,spoofed_icsim_speed,icsim_spoof_injector_medium,190,ATTACK spoofed ICSim speed=190km/h intensity=medium
009_icsim_spoof_injection,1398128225.656317,1.853000,spoofed_injection,19B,8,D9000000000000D9,spoofed_icsim_doors,icsim_spoof_injector_medium,,ATTACK spoofed ICSim doors_state=0x0 intensity=medium
009_icsim_spoof_injection,1398128225.693317,1.890000,spoofed_injection,244,8,0000E9C100AA55E9,spoofed_icsim_speed,icsim_spoof_injector_medium,193,ATTACK spoofed ICSim speed=193km/h intensity=medium
009_icsim_spoof_injection,1398128225.733317,1.930000,spoofed_injection,244,8,0000E9C400AA55E9,spoofed_icsim_speed,icsim_spoof_injector_medium,196,ATTACK spoofed ICSim speed=196km/h intensity=medium
009_icsim_spoof_injection,1398128225.773317,1.970000,spoofed_injection,244,8,0000E9C700AA55E9,spoofed_icsim_speed,icsim_spoof_injector_medium,199,ATTACK spoofed ICSim speed=199km/h intensity=medium
009_icsim_spoof_injection,1398128225.779317,1.976000,spoofed_injection,188,8,03C90000000000C9,spoofed_icsim_turn_signals,icsim_spoof_injector_medium,,ATTACK spoofed ICSim turn_signal_state=0x3 intensity=medium
009_icsim_spoof_injection,1398128225.813317,2.010000,spoofed_injection,244,8,0000E9CA00AA55E9,spoofed_icsim_speed,icsim_spoof_injector_medium,202,ATTACK spoofed ICSim speed=202km/h intensity=medium
009_icsim_spoof_injection,1398128225.853317,2.050000,spoofed_injection,244,8,0000E9BE00AA55E9,spoofed_icsim_speed,icsim_spoof_injector_medium,190,ATTACK spoofed ICSim speed=190km/h intensity=medium
009_icsim_spoof_injection,1398128225.856317,2.053000,spoofed_injection,19B,8,D9000000000000D9,spoofed_icsim_doors,icsim_spoof_injector_medium,,ATTACK spoofed ICSim doors_state=0x0 intensity=medium
009_icsim_spoof_injection,1398128225.893317,2.090000,spoofed_injection,244,8,0000E9C100AA55E9,spoofed_icsim_speed,icsim_spoof_injector_medium,193,ATTACK spoofed ICSim speed=193km/h intensity=medium
009_icsim_spoof_injection,1398128225.933317,2.130000,spoofed_injection,244,8,0000E9C400AA55E9,spoofed_icsim_speed,icsim_spoof_injector_medium,196,ATTACK spoofed ICSim speed=196km/h intensity=medium
